FESTIVAL,YEAR,AWARD,FILM
Cannes,2023,Jury Prize,FALLEN LEAVES
Cannes,2023,Best Director,THE TASTE OF THINGS
Cannes,2023,Best Actress,ABOUT DRY GRASSES
Cannes,2023,Best Actor,PERFECT DAYS
Cannes,2023,Best Screenplay,MONSTER
Cannes,2024,Palme d'Or,ANORA
Cannes,2024,Grand Prix,ALL WE IMAGINE AS LIGHT
Cannes,2024,Jury Prize,EMILIA PÉREZ
Cannes,2024,Best Director,GRAND TOUR
Cannes,2024,Best Actress,EMILIA PÉREZ
Cannes,2024,Best Actor,KINDS OF KINDNESS
Cannes,2024,Best Screenplay,THE SUBSTANCE
Cannes,2024,Prix Spécial,THE SEED OF THE SACRED FIG
Cannes,2025,Palme d'Or,IT WAS JUST AN ACCIDENT
Cannes,2025,Grand Prix,SENTIMENTAL VALUE
Cannes,2025,Jury Prize,SIRĀT
Cannes,2025,Jury Prize,SOUND OF FALLING
Cannes,2025,Best Director,THE SECRET AGENT
Cannes,2025,Best Actress,THE LITTLE SISTER
Cannes,2025,Best Actor,THE SECRET AGENT
Cannes,2025,Best Screenplay,YOUNG MOTHERS
Cannes,2025,Prix Spécial,RESURRECTION
